Main Product,Characteristic 1,Characteristic 2,Characteristic 3,Characteristic 4
Cappuccino,2% Milk (Reduced Fat),Raw Sugar (like Turbinado or Demerara),Hazelnut,Cinnamon
Latte,Soy Milk,Honey,Chocolate (or Mocha),Nutmeg
Iced Coffee,Almond Milk,Agave Nectar,Peppermint,Chocolate Chips or Shavings
Herbal Tea,Oat Milk,Stevia,Almond,Marshmallows
Black Tea,Coconut Milk,Splenda (Sucralose),Cinnamon,Honey
Green Tea,Rice Milk,Equal (Aspartame),Pumpkin Spice,Vanilla Extract
,Lactose-Free Milk,Monk Fruit Sweetener,Raspberry,Caramel Drizzle
,Hemp Milk,Maple Syrup,Toasted Marshmallow,Ice
,Pea Milk,Cane Sugar,Gingerbread,Protein Powder
,Goat Milk,Coconut Sugar,Coconut,Coconut Oil or MCT Oil
,Macadamia Milk,Erythritol,Toffee Nut,Collagen Powder
,Flavored Milk (like chocolate or vanilla),Xylitol,Butterscotch,Chai Spice Mix
